reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,pos_review
A3STFVPM8NHJ7B,B0006GAI5U,A. Pierre,"[0, 0]",Bernie Mac plays Stan Ross a by the books no one is better then me player The beginning of the film is entertaining the middle gets boring and cliched and the ending was a surprise Overall I enjoyed this film I really didnt laugh alot but it was watchable Id recommend it to people who enjoy baseball films or comedys,3,Mac hits a single,1221091200,"09 11, 2008",one then player beginning film middle boring cliched surprise film really laugh alot watchable recommend baseball comedys 
ADJ7H7A440V1W,0790740680,claudia diorio,"[0, 2]",based on earlier reviews I watched the movie but for some reason it bored me Maybe its the kind of film that needs an audience,2,so so,1358899200,"01 23, 2013",reviews movie reason kind film audience 
A27CFNHYZG6WS8,6303257348,darragh o'donoghue,"[120, 125]", To Yuma is a stark monochrome Western that has been praised for its suspense and high moral tone  Van Heflin in a darker variant on his role in Shane plays a character who picks up where most Westerns leave off  The genre is usually concerned with taming wild loners or men with pasts rewarding them with the joys of civilisation  Heflin has seen what civilisation really means  He lives on a droughtdry farm with a wife and two children he often fails to feed  The grind of fruitless labour has worn them all down and Heflins identity as a man having been once the greatest shot in these parts is now undermined by humiliation in front of his family by outlaws stealing his cattle and horses or forced to beg money from indifferent acquaintances  His wife cant understand that his inability to be a man is the result of the civilisation she representsWhats a poor honest farmer to do when he sees murderers and thieves throwing money around drinking their fill bedding beautiful strangers and generally living the whoopingitup life  Glenn Ford is the notcompletelyirredeemable leader of a gang of devoted sadists so feared throughout the region that no lawman dares touch him  Such men are usually let down by their sexual desire and when he leaves his gang to schmooze a barmaid he is captured by the locals  Knowing that they will be no match for the manpower or ruthlessness of the gang when they return to rescue Ford the sheriff plans a decoy which will need two foolishly brave men to take the bandit to the train station at Contention City  The initally reluctant Heflin accepts the job when a farmsaving reward of  is offeredIn many ways Yuma works against the conventions of the Western as it seeks like the hero to avoid action and the inevitable climactic shootout for as long as possible  The films centrepiece is a lengthy stagy sequence in a hotel room in which Heflin holds Ford prisoner  potential ponderousness is offset by the terrific acting of the two aging actors one goading and testing the other tempting with crooked offers that are all too tempting the other struggling manfully to resist  At first Heflins taking the job is strictly economical  he needs the money  Then it becomes ethical a stand against socially disruptive forces threatening the community  It is also a test of the masculinity that has long been buried by family duties  Finally it is an existential struggle with Ford as the man Heflin could easily become and perhaps once was and his men as the instruments of inexorable Fate the farmer must face and outwit on his own stripped of support just as Man must eventually face DeathThe films miseenscene is suitably austere the blackandwhite cinematography emphasising sharp contrasts the alienating outlines of buildings and landscapes and the vulnerable men and women who walk through them  sometimes watching Yuma is like leafing slowly through an album of stark th century photographs taken of the West  The city in which the film is mostly played out initially seems like a ghost town and a surreal funeral sequence interrupting or accentuating the tension gives a quality of dream  Delmer Daves direction is not selfeffacing  every shot is meticulously often heavily composed character patterns structured in frames creating a sense of constriction and claustrophobia that serves to turn the plots screws  What saves the film from being just another superfical High Noon allegory is the sudden bursts of violence rupturing the tense silence and the ultimate refusal to wholeheartedly embrace doomandgloom existentialism,4,From a time when men had to prove they were men.,1022025600,"05 22, 2002",stark monochrome suspense high moral tone darker variant role character genre usually wild joys civilisation civilisation really droughtdry farm wife often feed grind fruitless labour down identity man once shot now humiliation front family beg money indifferent wife cant understand inability be man result civilisation poor honest farmer do money fill beautiful generally whoopingitup life notcompletelyirredeemable leader gang devoted so region lawman touch Such usually sexual desire gang schmooze barmaid be match manpower ruthlessness gang rescue sheriff decoy need foolishly take bandit train station initally reluctant job reward offeredIn many hero avoid action inevitable climactic shootout as long possible centrepiece lengthy stagy sequence hotel room prisoner potential ponderousness terrific acting goading other crooked too other manfully resist first job strictly economical money Then ethical stand socially disruptive community also test masculinity long family existential struggle man easily become perhaps once inexorable farmer face outwit own stripped support just eventually face miseenscene suitably austere blackandwhite cinematography sharp vulnerable sometimes slowly album stark th century photographs city film mostly initially ghost town surreal funeral sequence interrupting tension quality dream direction not shot meticulously often heavily character sense constriction claustrophobia turn film just superfical allegory sudden violence tense silence ultimate refusal wholeheartedly embrace doomandgloom existentialism 
A2IIOKKY2VUX4B,B002TQKL16,annette evers,"[1, 1]",Becker  a laugh out loud sitcom  hes rude crude and yet he has a big heart  and the supporting cast is funny  good writing and directing This in my opinion is Ted Dansons best roleHe exposes the crankie cynic in us all,5,netever,1291852800,"12 9, 2010",laugh loud sitcom crude yet big heart cast funny good writing opinion roleHe crankie cynic 
A1T9YSDAYS097M,B00005JLX8,D. Bannister,"[0, 0]",The first feature from director Dylan Kidd is a knockout Campbell Scott was a brilliant stroke of casting and made the movie Perfect choiceIn addition to the wonderful movie are the extras which make the DVD worth double the price Kidd does a wonderful over under and through of the movie and is an audio track that shouldnt be missed In addition the actors have an audiogo as well and a number of shorts explore the movie from all different vantage points Great collection of extrasMy only complaint and it might be my DVD equipment but this DVD caused my laser to whirr nonstop I have not heard laser grinding on my machine like that since I put in an independent small label european DVD a couple of months ago which ultimately didnt play and no it wasnt porno It might be the programming on the DVD but who knowsSo if you got it put a bag of ice on the ol machine before having a go at this movie But grinding or no grinding it is worth a look,4,Great movie,1048550400,"03 25, 2003",first feature director knockout brilliant stroke casting movie addition wonderful movie worth double price wonderful movie audio track be addition audiogo as well number movie different vantage collection extrasMy only complaint be equipment laser whirr nonstop not laser machine independent small label european couple ultimately play be programming bag ice ol machine go movie look 
A29QNQM95CHSTI,B00005YUP5,GemKB,"[2, 8]",Once you get past the girls locker room scene  which works good in slow motion  find another movie to watch If youre looking for some kind of story with T  A and decent sex this aint it babe,1,After 10 minutes - find another,1226793600,"11 16, 2008",Once locker room scene good slow motion find movie watch youre kind story decent sex aint 
A1JH5J1KQAUBMP,0792837207,David Bonesteel,"[3, 6]",This film is very wise about the dynamics of malefemale relationships every scene rings true  Billy Crystal and Meg Ryan have great chemistry and its very entertaining to watch their relationship develop over the years  Sure its too cute sometimes ie the whole quotpepper on my paprikashquot scene  Yes its obviously derivative of Woody Allen  However I still get a lump in my throat at the end and theres no arguing with that,5,Classic relationship film,978048000,"12 29, 2000",film very wise malefemale scene true great chemistry very entertaining watch relationship develop too cute sometimes whole quotpepper paprikashquot scene obviously derivative However still get lump throat end 
AP9G7ARV9WJER,B001GZ6Q1K,Rob H.,"[0, 0]",A must have for any political history buff Even if you arent a Nixon fan this is good These interviews are what the movie FrostNixon was based onFrostNixon Bluray,5,Frost/Nixon,1301875200,"04 4, 2011",have political history buff Even fan good movie onFrostNixon 
A29AHSM8RDYA2H,B00FBE6810,gbv4me,"[1, 3]",Started off okay got slow in the middle and the closer it got to the end the more I felt like I wasted my money Very boring even for a ghost movie,1,BORRRRING!,1390608000,"01 25, 2014",okay slow middle closer end money Very boring even ghost movie 
A1BNE4JUATFDMY,B0039UT3LK,Old Gringo,"[1, 3]",It kinda of surprised me that this thing would track so closely to Tender Mercies Its not as claustrophobic as Tender Mercies the little romance moves across the southwest has a few deviations but the theme of a redeemed broken down CW singer is identical for all practical purposes Since he was one pf the producers Robert Duvall gave himself a small part in case anyone wasnt clued in to the relation with Tender MerciesI just cant figure out who this movie would appeal to  Its dull predictable plot plods along Maggie Gyllenhaal as the female lead registers an infomercial caliber performance and Jeff bridges plays well Jeff Bridges which again leaves me scratching my head as to why he got an Oscar for this nonnotable unoriginal filmWeird,2,Recycled Tender Mercies Theme,1290988800,"11 29, 2010",surprised thing track so closely not as claustrophobic Tender little romance southwest few theme singer identical practical pf small part case anyone wasnt relation just cant figure movie appeal dull predictable plot female lead infomercial caliber performance well again head Oscar nonnotable unoriginal filmWeird 
